2018-04-13 19:36:04.813 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@79d94571, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4dd02341, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3212a8d7]
2018-04-13 19:36:05.213 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [application-context.xml]
2018-04-13 19:36:05.683 [main] INFO  org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@18920cc: startup date [Fri Apr 13 19:36:05 MSK 2018]; root of context hierarchy
2018-04-13 19:36:06.931 [Thread-0] INFO  org.springframework.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@18920cc: startup date [Fri Apr 13 19:36:05 MSK 2018]; root of context hierarchy
2018-04-13 20:20:11.981 [Thread-0] INFO  org.springframework.context.support.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@24d4d7c9: startup date [Fri Apr 13 18:41:41 MSK 2018]; root of context hierarchy
2018-04-14 20:56:30.266 [main] INFO  org.springframework.context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@3f9342d4: startup date [Sat Apr 14 20:56:30 MSK 2018]; root of context hierarchy
2018-04-14 20:56:30.406 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [application-context.xml]
2018-04-14 20:56:50.389 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-04-14 20:56:50.471 [main] INFO  org.springframework.test.context.support.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@79d94571, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4dd02341, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3212a8d7]
2018-04-14 20:56:50.668 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [application-context.xml]
2018-04-14 20:56:51.096 [main] INFO  org.springframework.context.support.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@18920cc: startup date [Sat Apr 14 20:56:51 MSK 2018]; root of context hierarchy
